序号,状态,开始帧,结束帧,持续帧数,开始时间(秒),结束时间(秒),持续时间(秒)
1,虚拟世界,0,7512,7513,0.0,125.2,125.22
2,虚拟世界,7513,7523,11,125.22,125.38,0.18
3,虚拟世界,7524,7530,7,125.4,125.5,0.12
4,虚拟世界,7531,7595,65,125.52,126.58,1.08
