标记名称,描述,入点,出点,持续时间,标记类型,,mode,duration,percentage,times
7,,120928,120965,37,注释,,,,,
,,120969,121142,173,注释,,,,,
,,121154,121220,66,注释,,,,,
,,121265,121506,241,注释,,,,,
,,121510,121604,94,注释,,,,,
,,121629,121730,101,注释,,,,,
,,121842,122008,166,注释,,,,,
,,122012,122015,3,注释,,,,,
,,122019,122113,94,注释,,,,,
,,122157,122261,104,注释,,,,,
,,122268,122307,39,注释,,,,,
,,122464,122533,69,注释,,,,,
,,122541,122643,102,注释,,,,,
,,122668,122687,19,注释,,,,,
,,122695,122713,18,注释,,,,,
,,122799,123242,443,注释,,,,,
,,123246,123290,44,注释,,,,,
,,123331,123460,129,注释,,,,,
,,123476,123583,107,注释,,,,,
,,123662,123742,80,注释,,,,,
,,123776,123830,54,注释,,,,,
,,123840,123883,43,注释,,,,,
,,123912,123974,62,注释,,,,,
,,124070,124190,120,注释,,,,,
,,124345,124370,25,注释,,,,,
,,124379,124546,167,注释,,,,,
,,124571,124773,202,注释,,,,,
,,124862,124944,82,注释,,,,,
,,124956,125075,119,注释,,,,,
,,125205,125226,21,注释,,,,,
,,125288,125473,185,注释,,,,,
,,125988,125991,3,注释,,,,,
,,126040,126057,17,注释,,,,,
,,126092,126095,3,注释,,,,,
,,126119,126126,7,注释,,,,,
,,126219,126223,4,注释,,,,,
,,126287,126291,4,注释,,,,,
,,126300,126304,4,注释,,,,,
8,,149328,149454,126,注释,,,,,
,,149487,149851,364,注释,,,,,
,,149870,150067,197,注释,,,,,
,,150081,151119,1038,注释,,,,,
,,151141,151702,561,注释,,,,,
,,151718,151722,4,注释,,,,,
,,151829,151849,20,注释,,,,,
,,151872,151921,49,注释,,,,,
,,151944,152073,129,注释,,,,,
,,152161,152168,7,注释,,,,,
,,152224,152388,164,注释,,,,,
,,152416,153328,912,注释,,,,,
,,153348,153810,462,注释,,,,,
,,153822,153848,26,注释,,,,,
,,153900,154017,117,注释,,,,,
,,154053,154078,25,注释,,,,,
,,154098,154162,64,注释,,,,,
,,156511,156652,141,注释,,,,,
,,156697,156713,16,注释,,,,,
,,156799,156823,24,注释,,,,,
9,,161263,161415,152,注释,,,,,
,,161438,161548,110,注释,,,,,
,,161669,161718,49,注释,,,,,
,,161751,161864,113,注释,,,,,
,,161956,162047,91,注释,,,,,
,,162054,162066,12,注释,,,,,
,,162084,162088,4,注释,,,,,
,,162099,162119,20,注释,,,,,
,,162202,162255,53,注释,,,,,
,,162263,162435,172,注释,,,,,
,,162452,162471,19,注释,,,,,
,,162503,162576,73,注释,,,,,
,,162585,162594,9,注释,,,,,
,,162633,162658,25,注释,,,,,
,,162676,162742,66,注释,,,,,
,,162891,162944,53,注释,,,,,
,,162962,163053,91,注释,,,,,
,,163067,163110,43,注释,,,,,
,,163130,163174,44,注释,,,,,
,,163329,163335,6,注释,,,,,
,,163342,163349,7,注释,,,,,
,,163442,163575,133,注释,,,,,
,,163683,163692,9,注释,,,,,
,,163761,163788,27,注释,,,,,
,,163799,163811,12,注释,,,,,
,,163853,163896,43,注释,,,,,
,,163951,163985,34,注释,,,,,
,,164000,164006,6,注释,,,,,
,,164029,164042,13,注释,,,,,
,,164060,164097,37,注释,,,,,
,,164175,164523,348,注释,,,,,
,,164546,164610,64,注释,,,,,
,,164661,164684,23,注释,,,,,
,,164697,164794,97,注释,,,,,
,,164824,164853,29,注释,,,,,
